Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
763,0.119219,3335
764,0.119375,2055
765,0.119531,1288
766,0.119688,1030
767,0.119844,3336
768,0.120000,2567
769,0.120156,3335
770,0.120313,3335
771,0.120469,3335
772,0.120625,3080
773,0.120781,3080
774,0.120938,1288
775,0.121094,2823
776,0.121250,1799
777,0.121406,3335
778,0.121563,2056
779,0.121719,2311
780,0.121875,3335
781,0.122031,2311
782,0.122188,2824
783,0.122344,1288
784,0.122500,3847
785,0.122656,775
786,0.122813,2823
787,0.122969,1287
788,0.123125,1287
789,0.123281,1032
790,0.123438,3336
791,0.123594,2311
792,0.123750,1287
793,0.123906,1799
794,0.124063,2311
795,0.124219,2311
796,0.124375,2311
797,0.124531,2311
798,0.124688,2055
799,0.124844,2312
800,0.125000,1287
801,0.125156,3847
802,0.125312,1799
803,0.125469,3336
804,0.125625,1031
805,0.125781,2312
806,0.125938,3335
807,0.126094,3335
808,0.126250,2311
809,0.126406,1031
810,0.126562,2311
811,0.126719,1288
812,0.126875,2824
813,0.127031,3079
814,0.127188,2312
815,0.127344,2311
816,0.127500,3335
817,0.127656,2568
818,0.127812,2056
819,0.127969,3335
820,0.128125,1287
821,0.128281,2056
822,0.128438,3079
823,0.128594,1287
824,0.128750,3080
825,0.128906,1800
826,0.129062,1799
827,0.129219,1543
828,0.129375,2823
829,0.129531,1288
830,0.129688,2311
831,0.129844,3336
832,0.130000,1288
833,0.130156,2311
834,0.130312,1031
835,0.130469,2312
836,0.130625,2311
837,0.130781,1288
838,0.130938,1287
839,0.131094,3335
840,0.131250,2311
841,0.131406,2311
842,0.131562,1800
843,0.131719,3080
844,0.131875,3335
845,0.132031,775
846,0.132188,3847
847,0.132344,3334
848,0.132500,2824
849,0.132656,2054
850,0.132812,264
851,0.132969,2312
852,0.133125,775
853,0.133281,3335
854,0.133437,3080
855,0.133594,1031
856,0.133750,2054
857,0.133906,2311
858,0.134063,2823
859,0.134219,3335
860,0.134375,3848
861,0.134531,2311
862,0.134687,3335
863,0.134844,2824
864,0.135000,2823
865,0.135156,2312
866,0.135313,776
867,0.135469,2311
868,0.135625,3336
869,0.135781,2055
870,0.135937,1287
871,0.136094,1288
872,0.136250,2823
873,0.136406,3335
874,0.136563,3335
875,0.136719,2312
876,0.136875,2312
877,0.137031,263
878,0.137187,3337
879,0.137344,776
880,0.137500,3335
881,0.137656,1286
882,0.137813,776
883,0.137969,1289
884,0.138125,775
885,0.138281,1288
886,0.138437,2311
887,0.138594,3079
888,0.138750,3335
889,0.138906,2823
890,0.139063,2311
891,0.139219,2311
892,0.139375,1288
893,0.139531,2312
894,0.139687,776
895,0.139844,3847
896,0.140000,3847
897,0.140156,3079
898,0.140313,3847
899,0.140469,1288
900,0.140625,774
901,0.140781,1799
902,0.140937,2567
903,0.141094,1798
904,0.141250,2824
905,0.141406,1031
906,0.141563,2056
907,0.141719,2312
908,0.141875,1288
909,0.142031,775
910,0.142187,2824
911,0.142344,2312
912,0.142500,1287
913,0.142656,3335
914,0.142813,1800
915,0.142969,2823
916,0.143125,3080
917,0.143281,2312
918,0.143437,1287
919,0.143594,3335
920,0.143750,2055
921,0.143906,3079
922,0.144063,2055
923,0.144219,2055
924,0.144375,262
925,0.144531,1287
926,0.144687,1031
927,0.144844,3335
928,0.145000,1287
929,0.145156,2055
930,0.145313,2055
931,0.145469,1031
932,0.145625,1799
933,0.145781,1799
934,0.145937,3079
